,modelname,classname,img1_id,img2_id,concepts_1,concepts_2,sum1,sum2,common_sum,diff,jaccard
0,inception_utensil_both_bias,FISH_SLICE,778,908,"primary_concept_spoon,primary_concept_background,color_silver,color_yellow","primary_concept_knife,primary_concept_knife_handle,primary_concept_background,color_silver,color_bollywood,color_yellow",-0.36277647635362364,-0.503674411684739,-0.21196013390037416,0.1408979353311154,0.43
1,inception_utensil_both_bias,FISH_SLICE,849,969,"primary_concept_spoon,primary_concept_photo,color_silver,color_green","primary_concept_spatula,primary_concept_background,color_black,color_gold,color_green,color_purple,color_blue",-0.75718049821479,1.3630743024185596,0.0715508112839358,2.12025480063335,0.1
2,inception_utensil_both_bias,FISH_SLICE,688,878,"primary_concept_spoon,color_blue","primary_concept_spoon,color_gold",-0.006863946268467702,-0.07804143159930302,-0.1508163424532495,0.07117748533083532,0.33
3,inception_utensil_both_bias,FISH_SLICE,736,908,"primary_concept_fork,primary_concept_background,color_gold,color_green","primary_concept_knife,primary_concept_knife_handle,primary_concept_background,color_silver,color_bollywood,color_yellow",0.03808045886423442,-0.503674411684739,0.0356501170181817,0.5417548705489734,0.11
4,inception_utensil_both_bias,FISH_SLICE,734,778,"primary_concept_knife,primary_concept_photo,color_silver,color_green","primary_concept_spoon,primary_concept_background,color_silver,color_yellow",-0.7223885815855909,-0.36277647635362364,-0.4203710615433551,0.3596121052319673,0.14
5,inception_utensil_both_bias,FISH_SLICE,734,908,"primary_concept_knife,primary_concept_photo,color_silver,color_green","primary_concept_knife,primary_concept_knife_handle,primary_concept_background,color_silver,color_bollywood,color_yellow",-0.7223885815855909,-0.503674411684739,-0.5363954873674055,0.2187141699008519,0.25
6,inception_utensil_both_bias,FISH_SLICE,736,778,"primary_concept_fork,primary_concept_background,color_gold,color_green","primary_concept_spoon,primary_concept_background,color_silver,color_yellow",0.03808045886423442,-0.36277647635362364,0.0356501170181817,0.40085693521785803,0.14
7,inception_utensil_both_bias,FISH_SLICE,742,860,"primary_concept_guitar,color_black","primary_concept_knife,primary_concept_background,color_yellow",0.6412171223430599,0.09238650181893052,0.0,0.5488306205241295,0.0
8,inception_utensil_both_bias,FISH_SLICE,878,907,"primary_concept_spoon,color_gold","primary_concept_guitar,primary_concept_background,color_black,color_yellow",-0.07804143159930302,0.8496280499860408,0.0,0.9276694815853438,0.0
9,inception_utensil_both_bias,FISH_SLICE,715,907,"primary_concept_spoon,color_gold","primary_concept_guitar,primary_concept_background,color_black,color_yellow",-0.07804143159930302,0.8496280499860408,0.0,0.9276694815853438,0.0
