,modelname,classname,img1_id,img2_id,concepts_1,concepts_2,sum1,sum2,common_sum,diff,jaccard
0,squeezenet_utensil_color_bias,FISH_SLICE,2158,2195,"primary_concept_fork,primary_concept_background,color_grey,color_green","primary_concept_spatula,primary_concept_background,color_silver,color_brown,color_darkgray,color_green",-0.3028949538683256,-0.3799297532603932,0.1498136848824608,0.07703479939206759,0.25
1,squeezenet_utensil_color_bias,FISH_SLICE,2169,2323,"primary_concept_spoon,primary_concept_background,color_silver,color_green","primary_concept_knife,primary_concept_background,color_silver,color_yellow",-0.3575117777819179,-0.8021453167075094,-0.11597393232971859,0.44463353892559154,0.33
2,squeezenet_utensil_color_bias,FISH_SLICE,2087,2321,"primary_concept_spatula,primary_concept_background,color_red,color_green","primary_concept_fork,primary_concept_background,color_silver,color_white,color_green",0.4305129788487481,0.15048321835059328,0.1498136848824608,0.28002976049815487,0.29
3,squeezenet_utensil_color_bias,FISH_SLICE,2256,2351,"primary_concept_knife,primary_concept_background,color_beige,color_green","primary_concept_fork,color_black",-0.2806239400412427,0.0806596271748613,0.0,0.361283567216104,0.0
4,squeezenet_utensil_color_bias,FISH_SLICE,2124,2309,"primary_concept_spoon,primary_concept_background,color_gold,color_yellow","primary_concept_spoon,color_silver",-1.1908161374948505,-0.5073254626643787,-0.4411396222560489,0.6834906748304718,0.2
5,squeezenet_utensil_color_bias,FISH_SLICE,2086,2090,"primary_concept_fork,color_silver,color_olive","primary_concept_knif,color_blue",-0.43170176057155263,0.0633701734978832,0.0,0.49507193406943584,0.0
6,squeezenet_utensil_color_bias,FISH_SLICE,2287,2323,"primary_concept_teaspoon,color_aqua","primary_concept_knife,primary_concept_background,color_silver,color_yellow",-0.1160410749702705,-0.8021453167075094,0.0,0.6861042417372389,0.0
7,squeezenet_utensil_color_bias,FISH_SLICE,2230,2272,"primary_concept_spoon,primary_concept_background,color_golden,color_green","primary_concept_knife,primary_concept_background,color_silver,color_brown",-0.358656236541,-0.662845888265032,-0.0497880919213888,0.304189651724032,0.14
8,squeezenet_utensil_color_bias,FISH_SLICE,2087,2114,"primary_concept_spatula,primary_concept_background,color_red,color_green","primary_concept_spatula,primary_concept_background,color_silver,color_green",0.4305129788487481,0.14538503000290717,0.21157087041123698,0.2851279488458409,0.6
9,squeezenet_utensil_color_bias,FISH_SLICE,2114,2321,"primary_concept_spatula,primary_concept_background,color_silver,color_green","primary_concept_fork,primary_concept_background,color_silver,color_white,color_green",0.14538503000290717,0.15048321835059328,0.08362784447413099,0.005098188347686106,0.5
