colors,y,id,primary_concept,part,shapes
darkviolet,0.8816399,614,spatula,,
green,0.89313036,417,shadow,,
green,0.89313036,417,background,,
silver,0.89313036,417,spatula,,
silver,0.6605252,501,fork,head,rectangular
silver,0.6605252,501,fork,handle,rectangular
golden,0.9071117,589,spoon,,
yellow,0.9071117,589,background,left,
black,0.8953618,574,spatula,,
yellow,0.8953618,574,label,,
cornstalk,1.0,603,background,middle,rectangle
blue,0.99999964,436,spatula,head,parallelogram
yellow,0.99999964,436,spatula,tail,cylinder
goldenrod,0.95631504,450,knife,head,oval
goldenrod,0.95631504,450,knife,bottom,rectangular
black,0.95631504,450,knife,background,square
black,0.9999416,492,spatula,,
yellow,0.9999416,492,background,,
silver,0.9965404,660,butter_knife,,
red,0.9965404,660,background,,
silver,1.0,517,knife,,
blue,1.0,517,background,,
silver,0.9488165,409,spoon,,
yellow,0.9488165,409,background,,flat
white,0.99979776,416,spoon,head,
white,0.9892068,590,spoon,copyright,
black,0.9986664,529,spatula,,spatula
silver,0.7829452,522,spoon,,
green,0.7829452,522,background,,
blue,0.8658057,461,spatula,middle,linear
black,0.9229959,524,background,,
bollywood,0.9229959,524,knife,top,
green,0.94052845,466,background,,
silver,0.94052845,466,knife,middle,
silver,0.90191764,570,spoon,,
green,0.90191764,570,background,,
grey,0.6417662,549,spoon,border,
green,0.6417662,549,background,,
silver,0.76930594,579,spoon,,
olive,0.76930594,579,background,,
grey,0.78268343,539,knife,,line
green,0.78268343,539,background,,
black,0.40189508,428,background,bottom,
khaki,0.40189508,428,spatula,middle,
aquamarine,0.66909707,650,spoon,head,round
cyan,0.5922649,527,spatula,,long
aquamarine,0.8986092,448,spoon,top,round
silver,0.79435456,403,spoon,,
green,0.79435456,403,background,,
silver,0.87409294,489,spoon,head,oval
green,0.87409294,489,photo,background,square
silver,0.87409294,489,spoon,handle,oval
silver,0.40793133,475,fork,bottom,square
steel,0.41658193,634,butter_knife,,
blue,0.8431776,652,spoon,,
green,0.8431776,652,background,,
silver,0.5600318,400,spoon,,oval
beige,0.5600318,400,spoon,handle,cylinder
green,0.5600318,400,background,,
brown,0.9537924,496,spatula,bottom,
silver,0.9537924,496,spatula,top,
green,0.9537924,496,background,,
green,0.9114886,561,backgroud,,
silver,0.9114886,561,spoon,,
silver,0.52578855,483,tablespoon,,
green,0.52578855,483,background,,
silver,0.68189955,490,tablespoon,,
yellow,0.68189955,490,background,,
black,0.9896806,495,background,,
darkgoldenrod,0.9896806,495,fork,,
