colors,y,id,primary_concept,part,shapes
silver,0.12178332,2576,spatula,,
green,0.12178332,2576,background,,
yellow,0.009638754,2408,spoon,head,oval
yellow,0.009638754,2408,spoon,tail,rectangle
green,0.009638754,2408,background,middle,square
gold,0.7762661,2383,fork,,curve
blue,0.7762661,2383,fork,head,curve
yellow,0.7917329,2416,fork,,
black,0.7917329,2416,background,,
cornstalk,0.27622336,2510,knife,head,parallelogram
cornstalk,0.27622336,2510,knife,tail,oval
silver,0.19158372,2382,knife,head,rectangular
silver,0.19158372,2382,knife,bottom,rectangle
green,0.19158372,2382,background,middle,square
silver,0.09163757,2367,knife,,oval
green,0.09163757,2367,background,,square
silver,0.94835484,2531,butter_knife,,oval
black,0.94835484,2531,background,,square
silver,5.643662e-05,2551,spoon,,oval
green,5.643662e-05,2551,background,,square
silver,0.16016982,2589,fork,,rectangular
green,0.16016982,2589,fork,background,square
red,0.0009552217,2441,background,top,semicircle
yellow,0.0009552217,2441,spoon,head,oval
blue,0.0009552217,2441,spoon,tail,rectangle
gold,0.11179985,2435,knife,,
black,0.11179985,2435,background,,
goldenrod,0.72214353,2561,fork,,
black,0.72214353,2561,background,,
darkgoldenrod,0.0003349731,2527,spoon,,
green,0.0003349731,2527,background,,
bollywood,0.10847068,2540,butter_knife,,
black,0.10847068,2540,background,,
black,0.014711606,2422,spatula,,
grey,0.014711606,2422,spatula,handle,
black,0.014711606,2422,spatula,shadow,
green,0.014711606,2422,background,,
silver,0.0028253403,2599,spoon,,
olive,0.0028253403,2599,background,,
black,0.44903925,2630,spatula,,
yellow,0.44903925,2630,background,,
black,0.0014713906,2390,spatula,,
green,0.0014713906,2390,background,,
gold,0.40611565,2443,fork,head,fork shape
silver,0.2090128,2528,cake_lifter,,
green,0.2090128,2528,background,,
grey,0.9741998,2490,fork,,
green,0.9741998,2490,background,,
gold,2.0479292e-05,2400,spoon,,
gold,2.0479292e-05,2400,spoon,,
green,2.0479292e-05,2400,background,,
gold,2.0479292e-05,2400,spoon,,
green,2.0479292e-05,2400,background,,
gold,2.0479292e-05,2400,spoon,,
green,2.0479292e-05,2400,background,,
gold,2.0479292e-05,2400,spoon,,
green,2.0479292e-05,2400,background,,
black,0.0027135191,2596,guitar,,
yellow,0.0027135191,2596,background,,
silver,0.00037635284,2587,spatula,head,square
white,0.0061213756,2459,spoon,,spoon
blue,0.2755134,2519,fork,,
olive,0.2755134,2519,background,,
black,0.11596933,2515,spatula,,
yellow,0.11596933,2515,background,,
silver,0.11596933,2515,background,sides,
silver,0.0042046458,2548,spatula,bottom,
black,0.0042046458,2548,spatula,top,
green,0.0042046458,2548,background,,
silver,0.81830096,2571,knife,,
silver,0.24950881,2610,fork,,
green,0.24950881,2610,background,,
silver,0.07853477,2379,butter_knife,head,
red,0.07853477,2379,butter_knife,,
silver,0.0013398285,2565,spoon,,spoon
green,0.0013398285,2565,background,,
silver,0.004163406,2577,spoon,,
green,0.004163406,2577,background,,
silver,0.07718974,2456,utensil,bottom,rectangle
yellow,0.07718974,2456,background,side,
silver,0.0014430796,2409,teaspoon,,
green,0.0014430796,2409,background,,
silver,0.04142241,2557,kitchen_spoon,,
green,0.04142241,2557,background,,
